com_insee,com_nom,reg_nom,dep_nom,latitude_mairie,longitude_mairie,score_de_ville
21152,Châteauneuf,Bourgogne-Franche-Comté,Côte-d'Or,47.219,4.652,0.3220592368239154
21395,Massingy-lès-Vitteaux,Bourgogne-Franche-Comté,Côte-d'Or,47.396,4.59,0.3322365313888028
21120,La Bussière-sur-Ouche,Bourgogne-Franche-Comté,Côte-d'Or,47.227,4.7,0.3430665511811156
21706,Villotte-sur-Ource,Bourgogne-Franche-Comté,Côte-d'Or,47.866,4.692,0.3300802762334801
21646,Trouhaut,Bourgogne-Franche-Comté,Côte-d'Or,47.391,4.763,0.3502751898366879
22019,Bringolo,Bretagne,Côtes-d'Armor,48.577,-3.006,0.3040874474515163
22317,Saint-Méloir-des-Bois,Bretagne,Côtes-d'Armor,48.442,-2.257,0.3084646560888352
22045,Cohiniac,Bretagne,Côtes-d'Armor,48.452,-2.947,0.3112684661351117
22001,Allineuc,Bretagne,Côtes-d'Armor,48.311,-2.867,0.296874508264492
22304,Saint-Jean-Kerdaniel,Bretagne,Côtes-d'Armor,48.553,-3.034,0.3212566203095236
22361,Tréguidel,Bretagne,Côtes-d'Armor,48.6,-2.943,0.3633937614462616
22036,La Chapelle-Blanche,Bretagne,Côtes-d'Armor,48.268,-2.129,0.3116748937749686
22295,Saint-Gilles-Vieux-Marché,Bretagne,Côtes-d'Armor,48.25,-2.97,0.3021155242880885
22378,Trévérec,Bretagne,Côtes-d'Armor,48.66,-3.055,0.3012818530225572
22141,Mantallot,Bretagne,Côtes-d'Armor,48.71,-3.292,0.3102877663753081
22288,Saint-Étienne-du-Gué-de-l'Isle,Bretagne,Côtes-d'Armor,48.086,-2.644,0.2989500543543613
22370,Tréméven,Bretagne,Côtes-d'Armor,48.671,-3.032,0.3115957338660278
22352,Tréfumel,Bretagne,Côtes-d'Armor,48.337,-2.024,0.2912967374734434
22276,Saint-Bihy,Bretagne,Côtes-d'Armor,48.376,-2.967,0.299446920471091
22201,Plévenon,Bretagne,Côtes-d'Armor,48.658,-2.32,0.3843111715296865
22108,Lanleff,Bretagne,Côtes-d'Armor,48.693,-3.045,0.3119464393931609
22381,Trézény,Bretagne,Côtes-d'Armor,48.755,-3.36,0.3557235808398333
22309,Saint-Launeuc,Bretagne,Côtes-d'Armor,48.232,-2.354,0.30773771498687
22377,Tréveneuc,Bretagne,Côtes-d'Armor,48.66,-2.874,0.3643161291352727
22181,Plélauff,Bretagne,Côtes-d'Armor,48.198,-3.203,0.304233562808905
22306,Saint-Judoce,Bretagne,Côtes-d'Armor,48.362,-1.954,0.2836989201210665
22335,Senven-Léhart,Bretagne,Côtes-d'Armor,48.435,-3.064,0.3209982837065972
22006,Berhet,Bretagne,Côtes-d'Armor,48.698,-3.309,0.3291540915379805
22063,Gommenec'h,Bretagne,Côtes-d'Armor,48.638,-3.048,0.2989134608975275
22300,Saint-Hervé,Bretagne,Côtes-d'Armor,48.274,-2.812,0.2950974457164825
22285,Saint-Connec,Bretagne,Côtes-d'Armor,48.18,-2.926,0.2906550584415084
22291,Saint-Gildas,Bretagne,Côtes-d'Armor,48.422,-3.007,0.299366117869369
